CSDUID,Unnamed: 0,Geography,Unnamed: 2,graph2_cwbwiz,graph2_education,graph2_housing,graph2_income,graph2_jobs,graph_cwb,graph_education,graph_housing,graph_income,graph_jobs,year,lat,lon,pop,log_std
1308024,354,Acadieville ,P,4,4,3,3,4,4,4,3,4,4,2006,46.71521844441913,-65.31561933888281,744.0,22.290982175071278
1308026,355,Carleton ,P,4,4,2,3,4,4,4,2,3,4,2006,46.87974533052076,-65.00741898628944,770.0,22.878264967828386
1309001,356,Hardwicke ,P,3,4,3,2,3,4,4,3,2,4,2006,47.02064453656423,-65.029693849354,2329.0,41.80160238123212
1309004,357,Glenelg ,P,3,3,3,3,3,4,3,4,3,4,2006,46.945520760999734,-65.28948061327628,1610.0,35.48920309766156
1309006,358,Chatham ,P,2,3,2,2,3,2,3,1,2,3,2006,47.04447364970811,-65.37793352517912,522.0,16.23215894061946
1309011,359,Derby ,P,1,2,1,1,2,1,2,1,1,2,2006,46.88965669673914,-65.68994412603821,998.0,27.312663591176072
1309014,360,Nelson ,P,3,2,2,3,4,3,2,1,3,4,2006,46.840221569485955,-65.59398097534728,935.0,26.197805360954725
1309016,361,Rogersville ,P,3,4,3,2,3,3,4,4,2,3,2006,46.763725355927285,-65.46198701781219,1213.0,30.648320194616137
1309017,362,Rogersville ,VL,4,4,2,4,4,4,4,2,4,4,2006,46.73477862866621,-65.42831765899554,1170.0,30.031229978615485
1309018,363,Blackville ,P,4,3,3,3,4,4,4,3,3,4,2006,46.67212530838586,-65.79951085009095,2215.0,40.94354807596582
1309019,364,Blackville ,VL,3,2,2,3,3,3,2,1,4,4,2006,46.736842565079996,-65.83441866716007,990.0,27.175058958248965
1309021,365,Blissfield ,P,3,3,3,3,3,3,3,4,3,3,2006,46.60128460282051,-66.04033539437222,501.0,15.530119066039699
1309022,366,Doaktown ,VL,3,3,2,3,4,4,3,2,3,4,2006,46.5608519950758,-66.11219578130896,793.0,23.3814842955438
1309024,367,Ludlow ,P,3,3,2,3,4,4,3,2,3,4,2006,,,1568.0,35.03726621168721
1309026,368,Southesk ,P,2,2,2,2,2,2,2,1,2,2,2006,46.99016310198032,-66.43360685983163,1833.0,37.70705910110277
1309028,369,Northesk ,P,3,2,3,2,3,3,2,3,2,4,2006,47.25698939659342,-66.26143184462182,2352.0,41.96961805380688
1309031,370,Newcastle ,P,3,3,4,3,2,3,3,4,3,1,2006,47.172690603150016,-65.55530860611667,1220.0,30.746701874587757
1309036,371,Alnwick ,P,4,4,4,3,4,4,4,4,4,4,2006,47.26548836358309,-65.22916988281838,5922.0,57.75738969139995
